,content_id,title_ko,title_en,running_min,running_time,year,country,age,ott_img,ott_tag,avg_score,img
174,mQO8e2d,아임 낫 데어,I'm Not There,135,2시간 15분,2007,"독일, 캐나다, 미국, 프랑스",15세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#티빙#웨이브,3.6,https://an2-img.amz.wtchn.net/image/v2/EeO-2iI6wxqlPg-oVCdJDw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM2QyWkhObmNtSXhlSFp4Y0dGMWQzTmplR2h2SW4wLmZoSnFyb1JDZ2hVQ1RZVEZtYVU4TGlJcGh4UlJzaGJzMEYzV1RCd1ZKNjA=
175,mOkn8jW,메이지가 알고 있었던 일,What Maisie Knew,99,1시간 39분,2012,미국,15세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#티빙#웨이브,3.8,https://an2-img.amz.wtchn.net/image/v2/F0est5QfutNGS7dZfSeSaA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM2RsWlhWd2VuRnVkV3g1ZDJRNGRYVnlhWFIySW4wLk9HWjNfclQ0a3lHUWxUcTNmYm9hX2RpdTlIa2JNSGtCaDRSeDFnQk1wQUU=
176,mO077pR,사랑은 낙엽을 타고,Kuolleet lehdet,81,1시간 21분,2023,"핀란드, 독일",12세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#티빙#웨이브,3.7,https://an2-img.amz.wtchn.net/image/v2/KkRHvGQCJcI6OzNYpC12uA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFM01ERXhPVEl3TlRrek5UVXdNamN6T0RZaWZRLmNHYmw4TEoyR3E3MF9GYm05ZFloUmdUelpLTjF4eHpPRzFhVkJNYkNIanc=
177,mBOkyj5,기쿠지로의 여름,菊次郎の夏,121,2시간 1분,1999,일본,전체,['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png'],#왓챠,3.7,https://an2-img.amz.wtchn.net/image/v2/rKKng2mSaEOAyUSKf_IEoQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMlZ4ZVhONmMzUnhNM1J2Y0dwMWQyRjRaMkowSW4wLkcxR2JPZ3RFTXJUYTFSZ0FUdUt2RVRnaXd3V05qYVZ0d3h2MzRxOEQwdjg=
178,mXOg2NW,2001 스페이스 오디세이,2001: A Space Odyssey,149,2시간 29분,1968,"영국, 미국",12세,[],,4.0,https://an2-img.amz.wtchn.net/image/v2/jOf9ycxLP2dZY1Lp5WVhew.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM1F6YkdkaFpXZDBkM2t6ZVhac1pHeHVOSEU1SW4wLlR3RmEtbTB4c0Q2UE82ekdfekdtUW5WZkJIVmtqdTBlSVBNWDV1aWtfWUU=
179,mO0gVLW,원더풀 라이프,ワンダフルライフ,118,1시간 58분,1998,일본,전체,['https://an2-glx.amz.wtchn.net/images/ex_netflix_logo_square.png'],#넷플릭스,3.9,https://an2-img.amz.wtchn.net/image/v2/-yw3swK3lNCRR4HILwzF7Q.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMmw2WlhSbmRIaHlPSFEzZW1ka2JIcDFkRFZtSW4wLnFvakxvdGcwOTNzOHhXQkRYQmc4YXB6RGpIaHRuRVd5MEhYX016RDJHLXM=
180,md639a5,팅커 테일러 솔저 스파이,Tinker Tailor Soldier Spy,127,2시간 7분,2011,"프랑스, 영국, 독일, 미국",전체,['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png'],#왓챠,3.7,https://an2-img.amz.wtchn.net/image/v2/LWJA6zQq0g5wiOk_RlRIBw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk56Y3hNakF3TkRVNE5qVTBNVEU1TlRNaWZRLjVROHBQeVNJUTRQc3JUdlZaek9rTFgyWXE3a0U0U09rcGRkX1BMbWlwamM=
181,mVWzQV5,아이다호,My Own Private Idaho,104,1시간 44분,1991,미국,청불,[],,3.7,https://an2-img.amz.wtchn.net/image/v2/8OUjHa28Pt1xkHQ3FJntbw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk16WTVOVFF4TkRNME1UYzRPREF3TlRnaWZRLkVjNWljQ21jbk9XZTA0cVByYlByUFVoSC1JRlNnOVV1OFp0UzQ5VGxLZzg=
182,mn5NDEO,브라운 슈가,Brown Sugar,108,1시간 48분,2002,미국,15세,['https://an2-img.amz.wtchn.net/image/v2/mPQV0ogd6uw4_5DmR0oBFA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTODJPVE14TmpNeE1qWXpNekE1TURraWZRLnZ0TFJSVWFtRWtJRDBHMFJnZGdQVC1WWlJLckE3eGNHZWdpMFpWWXhWZWM&ts=1712645394'],#디즈니+,3.5,https://an2-img.amz.wtchn.net/image/v2/CmOV-zYYoG_uGfFEPjF7sA.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMM3A2ZEhNNFoyTnhhMjFxYURBeE1XbDNZWGw0SW4wLmdEMGd1MUxPN2ZzbDJlWUJTQWo5SUVLclhueXp6REVvZVFfRFFuaWxPTUk=
183,m53NoZ3,"예스, 갓, 예스","Yes, God, Yes",77,1시간 17분,2019,미국,15세,"['https://an2-glx.amz.wtchn.net/images/ex_watcha_logo_square.png', 'https://an2-img.amz.wtchn.net/image/v2/AmxtezC90nGQwOmwj0MCPA.png?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKd0lqb2lMM1l5TDNOMGIzSmxMM1ZwYldGblpTOHhOalV3TXpRMk9UQXhNVE0xTlRBNU16TTRJbjAudWd0X0VwOHg1ZDBnZTBTRjhiNkhrUG52Qzd5cndhRnl6bEt2dEZzVGhzTQ', 'https://an2-glx.amz.wtchn.net/images/ex_wavve_logo_square.png']",#왓챠#티빙#웨이브,3.1,https://an2-img.amz.wtchn.net/image/v2/LjLT1hL6Ql-DD8Dx62ayTg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXhMMlZ1Y1c4MFkzQnNhbVZsWkhwdmVHbGxZbTVwSW4wLmdOTnUxVkZsZ1F3Y2lxcDd4LV9jdkszYlN4ZERnay1obzNvNEhsbEc0Slk=
